tenure,MonthlyCharges,TotalCharges,Revenue at Risk,Churn Probability,Risk Category,Actual Churn
1,24.8,24.8,24.8,1.0,High Risk,1
41,25.25,996.45,0.0,0.0,Low Risk,0
52,19.35,1031.7,0.0,0.0,Low Risk,0
1,76.35,76.35,76.35,1.0,High Risk,1
67,50.55,3260.1,0.0,0.0,Low Risk,0
68,89.6,6127.6,89.6,1.0,High Risk,1
23,77.15,1759.4,0.0,0.0,Low Risk,0
72,72.1,5016.65,0.0,0.0,Low Risk,0
70,104.0,7250.15,104.0,1.0,High Risk,1
1,19.4,19.4,19.4,1.0,High Risk,1
1,20.45,20.45,0.0,0.0,Low Risk,0
34,84.05,2909.95,0.0,0.0,Low Risk,0
28,51.0,1381.8,0.0,0.0,Low Risk,0
18,85.45,1505.85,85.45,1.0,High Risk,1
15,20.45,330.8,0.0,0.0,Low Risk,0
11,95.15,997.65,95.15,1.0,High Risk,1
11,53.75,608.0,53.75,1.0,High Risk,1
1,70.0,70.0,70.0,1.0,High Risk,1
37,88.8,3340.55,0.0,0.0,Low Risk,0
22,89.4,2001.5,89.4,1.0,High Risk,1
1,70.25,70.25,0.0,0.0,Low Risk,0
1,19.45,19.45,0.0,0.0,Low Risk,0
46,80.0,3769.7,0.0,0.0,Low Risk,0
51,107.45,5680.9,0.0,0.0,Low Risk,0
41,104.45,4162.05,0.0,0.0,Low Risk,0
5,67.95,350.3,67.95,1.0,High Risk,1
45,89.3,4016.85,89.3,1.0,High Risk,1
29,60.2,1834.15,0.0,0.0,Low Risk,0
15,91.5,1400.3,0.0,0.0,Low Risk,0
72,63.7,4464.8,0.0,0.0,Low Risk,0
50,103.95,5231.3,0.0,0.0,Low Risk,0
27,20.6,581.85,0.0,0.0,Low Risk,0
72,85.15,6316.2,0.0,0.0,Low Risk,0
51,69.75,3562.5,0.0,0.0,Low Risk,0
60,94.1,5475.9,0.0,0.0,Low Risk,0
17,19.45,369.05,0.0,0.0,Low Risk,0
72,21.15,1419.4,0.0,0.0,Low Risk,0
33,104.4,3409.6,104.4,1.0,High Risk,1
66,104.9,6891.45,0.0,0.0,Low Risk,0
69,103.95,7446.9,103.95,1.0,High Risk,1
5,69.75,324.6,69.75,1.0,High Risk,1
57,100.75,5985.0,0.0,0.0,Low Risk,0
8,75.75,606.25,75.75,1.0,High Risk,1
14,51.45,727.85,0.0,0.0,Low Risk,0
25,94.7,2362.1,94.7,1.0,High Risk,1
52,19.6,1012.4,0.0,0.0,Low Risk,0
7,76.45,503.6,76.45,1.0,High Risk,1
13,79.8,973.45,79.8,1.0,High Risk,1
15,89.85,1424.95,89.85,1.0,High Risk,1
22,55.15,1193.05,55.15,1.0,High Risk,1
19,19.9,367.55,0.0,0.0,Low Risk,0
23,30.35,678.75,0.0,0.0,Low Risk,0
72,113.65,8182.75,0.0,0.0,Low Risk,0
72,98.35,6929.4,0.0,0.0,Low Risk,0
59,96.65,5580.8,0.0,0.0,Low Risk,0
70,75.35,5437.75,0.0,0.0,Low Risk,0
70,101.1,6994.8,0.0,0.0,Low Risk,0
9,103.1,970.45,0.0,0.0,Low Risk,0
3,24.6,86.35,0.0,0.0,Low Risk,0
17,101.8,1752.45,0.0,0.0,Low Risk,0
28,70.4,1992.2,0.0,0.0,Low Risk,0
10,54.25,583.0,0.0,0.0,Low Risk,0
11,20.95,267.35,0.0,0.0,Low Risk,0
72,102.65,7550.3,0.0,0.0,Low Risk,0
8,70.1,551.35,70.1,1.0,High Risk,1
69,20.3,1356.3,0.0,0.0,Low Risk,0
39,19.85,854.8,0.0,0.0,Low Risk,0
67,50.9,3281.65,0.0,0.0,Low Risk,0
39,19.9,791.15,0.0,0.0,Low Risk,0
54,65.65,3566.7,0.0,0.0,Low Risk,0
1,74.5,74.5,74.5,1.0,High Risk,1
72,60.0,4264.0,0.0,0.0,Low Risk,0
10,98.55,1008.55,98.55,1.0,High Risk,1
13,96.65,1162.85,96.65,1.0,High Risk,1
35,99.25,3532.0,0.0,0.0,Low Risk,0
12,35.5,432.25,0.0,0.0,Low Risk,0
31,90.55,2929.75,0.0,0.0,Low Risk,0
53,108.25,5935.1,0.0,0.0,Low Risk,0
1,19.5,19.5,0.0,0.0,Low Risk,0
30,19.7,625.05,0.0,0.0,Low Risk,0
46,74.8,3548.3,0.0,0.0,Low Risk,0
19,89.65,1761.05,89.65,1.0,High Risk,1
23,54.25,1221.55,0.0,0.0,Low Risk,0
15,55.0,757.1,55.0,1.0,High Risk,1
48,20.15,982.95,0.0,0.0,Low Risk,0
25,95.9,2448.75,95.9,1.0,High Risk,1
52,105.0,5426.85,105.0,1.0,High Risk,1
12,81.7,858.6,81.7,1.0,High Risk,1
48,24.55,1203.95,0.0,0.0,Low Risk,0
38,20.05,741.5,0.0,0.0,Low Risk,0
18,35.2,607.3,0.0,0.0,Low Risk,0
45,50.25,2221.55,0.0,0.0,Low Risk,0
12,89.55,1021.75,0.0,0.0,Low Risk,0
66,102.4,6471.85,0.0,0.0,Low Risk,0
72,20.25,1566.9,0.0,0.0,Low Risk,0
70,44.6,3058.15,0.0,0.0,Low Risk,0
27,90.15,2423.4,0.0,0.0,Low Risk,0
1,20.0,20.0,0.0,0.0,Low Risk,0
13,95.25,1233.65,95.25,1.0,High Risk,1
65,90.45,5957.9,0.0,0.0,Low Risk,0
14,70.2,1046.5,0.0,0.0,Low Risk,0
17,85.45,1451.6,85.45,1.0,High Risk,1
31,20.95,683.25,0.0,0.0,Low Risk,0
24,24.2,609.05,0.0,0.0,Low Risk,0
3,20.2,65.95,0.0,0.0,Low Risk,0
17,76.65,1313.55,76.65,1.0,High Risk,1
66,68.75,4447.55,0.0,0.0,Low Risk,0
45,53.3,2296.25,0.0,0.0,Low Risk,0
35,91.5,3236.35,0.0,0.0,Low Risk,0
40,40.25,1564.05,0.0,0.0,Low Risk,0
10,84.7,832.05,84.7,1.0,High Risk,1
52,64.3,3410.6,0.0,0.0,Low Risk,0
13,19.45,232.1,0.0,0.0,Low Risk,0
43,90.25,3838.75,0.0,0.0,Low Risk,0
41,20.45,775.6,0.0,0.0,Low Risk,0
52,50.5,2566.3,0.0,0.0,Low Risk,0
71,93.2,6506.15,0.0,0.0,Low Risk,0
61,106.45,6300.15,0.0,0.0,Low Risk,0
26,44.45,1183.8,0.0,0.0,Low Risk,0
72,68.4,4855.35,0.0,0.0,Low Risk,0
42,78.45,3373.4,0.0,0.0,Low Risk,0
57,65.2,3687.85,0.0,0.0,Low Risk,0
9,19.6,197.4,0.0,0.0,Low Risk,0
9,71.0,672.55,71.0,1.0,High Risk,1
33,44.55,1462.6,0.0,0.0,Low Risk,0
1,19.45,19.45,0.0,0.0,Low Risk,0
7,79.0,522.95,79.0,1.0,High Risk,1
1,71.55,71.55,71.55,1.0,High Risk,1
65,19.9,1292.6,0.0,0.0,Low Risk,0
10,86.05,834.1,86.05,1.0,High Risk,1
70,95.0,6602.9,0.0,0.0,Low Risk,0
29,98.6,2933.2,98.6,1.0,High Risk,1
21,104.4,2157.95,104.4,1.0,High Risk,1
1,90.75,90.75,90.75,1.0,High Risk,1
5,20.25,109.8,0.0,0.0,Low Risk,0
56,89.7,4952.95,0.0,0.0,Low Risk,0
35,85.15,3030.6,85.15,1.0,High Risk,1
10,20.45,242.4,0.0,0.0,Low Risk,0
31,49.85,1520.1,0.0,0.0,Low Risk,0
37,85.7,3171.15,85.7,1.0,High Risk,1
